timestamp,test_module,test_name,initial_threads,final_threads,thread_change,leaked_threads,new_thread_names,closed_thread_names,duration_seconds
2025-09-26T20:42:50.848395,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,12,10,10,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop),,2.845829
2025-09-26T20:42:59.689297,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,12,10,10,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop),,2.892929
2025-09-26T20:51:22.099995,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,12,10,10,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop)|Thread-8 (_loop)|Thread-9 (_loop)|Thread-10 (_loop)|Thread-11 (_loop),,2.774706
2025-09-26T20:51:33.454931,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.058218
2025-09-26T20:51:49.664137,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.120992
2025-09-26T20:52:43.699422,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.118322
2025-09-26T20:52:58.399305,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,4,2,2,Thread-2 (run_forever)|Thread-3 (_loop),,0.49951
2025-09-26T20:54:22.530651,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,10,8,8,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (run_forever)|Thread-6 (_loop)|Thread-7 (run)|ThreadPoolExecutor-1_0|ThreadPoolExecutor-1_1|ThreadPoolExecutor-1_2,,3.142741
2025-09-26T20:55:02.978190,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,10,8,8,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run)|ThreadPoolExecutor-1_0|ThreadPoolExecutor-1_1|ThreadPoolExecutor-1_2,,0.510929
2025-09-26T20:55:31.831699,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-5 (_loop)|Thread-6 (_loop)|Thread-7 (_loop)|Thread-8 (_loop),,3.146847
